num,word,meaning(s),filename_to_save,appears_in
001,alẹ́,night,audio/001_ale.mp3,family:ale ; sentence:S06
002,apá,arm,audio/002_apa.mp3,family:apa
003,aya,wife,audio/003_aya.mp3,family:aya ; sentence:S01
004,ayè,"space, opportunity",audio/004_aye.mp3,family:aye
005,ayé,"world, life",audio/005_aye.mp3,family:aye
006,bọ,to worship,audio/006_bo.mp3,family:bo ; sentence:B07
007,bọ́,to take off,audio/007_bo.mp3,family:bo ; sentence:B07
008,din,sound / noise,audio/008_din.mp3,family:din ; sentence:A18
009,dè,to tie / bind,audio/009_de.mp3,family:de ; sentence:S17
010,dé,to arrive,audio/010_de.mp3,family:de ; sentence:S17
011,dín,to fry,audio/011_din.mp3,family:din ; sentence:A18
012,ebi,hunger,audio/012_ebi.mp3,family:ebi ; sentence:S02
013,fa,to drag,audio/013_fa.mp3,family:fa ; sentence:B19
014,fá,to scrape,audio/014_fa.mp3,family:fa ; sentence:B19
015,fò,to fly / jump,audio/015_fo.mp3,family:fo ; sentence:S15
016,fọ,to wash,audio/016_fo.mp3,family:fo ; sentence:B09 ; sentence:S15
017,fọ́,to break,audio/017_fo.mp3,family:fo ; sentence:B09
018,gbà,to take / receive,audio/018_gba.mp3,family:gba ; sentence:B14
019,gbá,to sweep,audio/019_gba.mp3,family:gba ; sentence:B14
020,gbé,to marry / take,audio/020_gbe.mp3,family:gbe ; sentence:A02
021,gbẹ,to dry,audio/021_gbe.mp3,family:gbe ; sentence:A02
022,gun,to climb,audio/022_gun.mp3,family:gun ; sentence:B16
023,gún,to pound,audio/023_gun.mp3,family:gun ; sentence:B16
024,igba,calabash / two hundred,audio/024_igba.mp3,family:igba ; sentence:S18
025,ilé,house,audio/025_ile.mp3,family:ile ; sentence:S05
026,ilẹ̀,ground / land,audio/026_ile.mp3,family:ile ; sentence:S05
027,jà,to fight,audio/027_ja.mp3,family:ja ; sentence:B17
028,já,to pluck / snap,audio/028_ja.mp3,family:ja ; sentence:B17
029,jó,to dance,audio/029_jo.mp3,family:jo ; sentence:A12
030,jẹ,to bite / eat,audio/030_je.mp3,family:je ; sentence:B15
031,jẹ́,to be / answer to,audio/031_je.mp3,family:je ; sentence:B15
